year,date,statefips,countyfips,averagepm2.5,County
2016,01JAN2016,36,47,3.72158828947368,Kings County
2016,02JAN2016,36,47,8.06687328947368,Kings County
2016,03JAN2016,36,47,10.0087182894736,Kings County
2016,04JAN2016,36,47,4.38839578947368,Kings County
2016,05JAN2016,36,47,8.20242394736842,Kings County
2016,06JAN2016,36,47,16.0623719736842,Kings County
2016,07JAN2016,36,47,26.1877640789473,Kings County
2016,08JAN2016,36,47,17.1137677631578,Kings County
2016,09JAN2016,36,47,9.69810934210526,Kings County
2016,10JAN2016,36,47,4.1533222368421,Kings County
2016,11JAN2016,36,47,4.31417592105263,Kings County
2016,12JAN2016,36,47,7.43145592105263,Kings County
2016,13JAN2016,36,47,7.4326522368421,Kings County
2016,14JAN2016,36,47,12.5872531578947,Kings County
2016,15JAN2016,36,47,20.0730130263157,Kings County
2016,16JAN2016,36,47,7.11697276315789,Kings County
2016,17JAN2016,36,47,6.34568460526315,Kings County
2016,18JAN2016,36,47,6.96814539473684,Kings County
2016,19JAN2016,36,47,4.44753592105263,Kings County
2016,20JAN2016,36,47,5.0855225,Kings County
2016,21JAN2016,36,47,6.23537407894737,Kings County
2016,22JAN2016,36,47,4.16930592105263,Kings County
2016,23JAN2016,36,47,3.94839,Kings County
2016,24JAN2016,36,47,7.46034526315789,Kings County
2016,25JAN2016,36,47,15.2602303947368,Kings County
2016,26JAN2016,36,47,14.2042642105263,Kings County
2016,27JAN2016,36,47,10.3114806578947,Kings County
2016,28JAN2016,36,47,12.5828460526315,Kings County
2016,29JAN2016,36,47,13.94793,Kings County
2016,30JAN2016,36,47,9.10801486842105,Kings County
2016,31JAN2016,36,47,12.2771028947368,Kings County
2016,01FEB2016,36,47,14.1755442105263,Kings County
2016,02FEB2016,36,47,8.36935434210526,Kings County
2016,03FEB2016,36,47,6.161235,Kings County
2016,04FEB2016,36,47,6.59575157894736,Kings County
2016,05FEB2016,36,47,4.55931842105263,Kings County
2016,06FEB2016,36,47,7.91920039473684,Kings County
2016,07FEB2016,36,47,18.6176269736842,Kings County
2016,08FEB2016,36,47,6.28468065789473,Kings County
2016,09FEB2016,36,47,11.9046722368421,Kings County
2016,10FEB2016,36,47,13.7403882894736,Kings County
2016,11FEB2016,36,47,3.13140039473684,Kings County
2016,12FEB2016,36,47,6.91163565789473,Kings County
2016,13FEB2016,36,47,8.41467171052631,Kings County
2016,14FEB2016,36,47,5.06802105263157,Kings County
2016,15FEB2016,36,47,14.0477056578947,Kings County
2016,16FEB2016,36,47,7.68156697368421,Kings County
2016,17FEB2016,36,47,7.57583815789473,Kings County
2016,18FEB2016,36,47,4.41138565789473,Kings County
2016,19FEB2016,36,47,6.54441342105263,Kings County
2016,20FEB2016,36,47,7.26685355263158,Kings County
2016,21FEB2016,36,47,8.80006815789473,Kings County
2016,22FEB2016,36,47,5.23298842105263,Kings County
2016,23FEB2016,36,47,6.0730825,Kings County
2016,24FEB2016,36,47,5.5246675,Kings County
2016,25FEB2016,36,47,6.16688236842105,Kings County
2016,26FEB2016,36,47,2.41230236842105,Kings County
2016,27FEB2016,36,47,7.14197828947368,Kings County
2016,28FEB2016,36,47,13.0422459210526,Kings County
2016,29FEB2016,36,47,11.1235793421052,Kings County
2016,01MAR2016,36,47,6.78742618421052,Kings County
2016,02MAR2016,36,47,7.21351434210526,Kings County
2016,03MAR2016,36,47,5.25518513157894,Kings County
2016,04MAR2016,36,47,11.2037084210526,Kings County
2016,05MAR2016,36,47,6.68364092105263,Kings County
2016,06MAR2016,36,47,8.57237736842105,Kings County
2016,07MAR2016,36,47,17.2028771052631,Kings County
